start_timestamp,end_timestamp,ASIN,purchased_marketplace,preferred_marketplace,device_family,device_serial_number,device_software_version,content_type,total_reading_millis,number_of_page_flips
2024-06-02T10:34:55Z,2024-06-02T11:34:46Z,EC7J7VG03MYJ2UIIK68DP76HMIS6VZTT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,3591100,186
2024-05-24T15:19:23Z,2024-05-24T15:22:03Z,D202759FCF9C46E8B777BE4A99F2C097,,India,Kindle E-reader,G0010212031209K8,4212840015,Personal Document,160100,18
2024-06-01T17:51:01Z,2024-06-01T18:01:45Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,644600,44
2024-06-04T04:23:24Z,2024-06-04T04:23:33Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,8700,1
2024-06-03T05:32:08Z,2024-06-03T05:32:31Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,23000,1
2024-06-01T17:30:37Z,2024-06-01T17:50:24Z,EC7J7VG03MYJ2UIIK68DP76HMIS6VZTT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,1186400,57
2024-05-29T15:19:36Z,2024-05-29T15:31:02Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,685300,8
2024-05-28T11:38:19Z,2024-05-28T11:40:57Z,B005CHB726,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,157800,4
Not Available,2024-05-24T14:19:10Z,1F661CCCFB5A414FAEEC409BB8FF3325,,India,,de95d070027c4d039dbc90b3507de523,,Personal Document,,
2024-05-26T16:22:39Z,2024-05-26T16:22:46Z,BBJJJGCS7S,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,6400,1
2024-05-30T12:12:54Z,2024-05-30T12:13:10Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,15400,1
2024-05-24T12:46:12Z,2024-05-24T12:46:40Z,2CE6E6C943FC4EA0B76CC040E5F1E23D,,India,Kindle E-reader,G0010212031209K8,4212840015,Personal Document,27700,1
2024-05-27T07:04:57Z,2024-05-27T07:08:51Z,BBD53V2DZT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,234400,1
2024-05-26T16:23:03Z,2024-05-26T16:32:54Z,BBD53V2DZT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,590900,19
2024-06-04T15:42:34Z,2024-06-04T15:44:09Z,B01MPZZLPT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,94400,11
2024-05-25T17:49:39Z,2024-05-25T17:50:13Z,6VXYP0U3AMEKDDX6FSEJLTEUCEC264ZR,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,34100,19
2024-05-28T09:12:24Z,2024-05-28T09:19:48Z,B098MHBF23,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,444000,9
2024-05-25T10:37:29Z,2024-05-25T10:37:37Z,B01LYOSLGO,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,7300,1
2024-05-25T18:14:29Z,2024-05-25T18:14:49Z,BBMZZ0T5Q4,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,19400,1
2024-06-01T09:00:39Z,2024-06-01T09:01:23Z,ZTMQ71YKCSD8I2J04G69G8Q3MF3Q8J7M,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,44100,8
2024-05-27T09:13:46Z,2024-05-27T10:01:34Z,BBD53V2DZT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,2868100,77
2024-05-25T10:36:57Z,2024-05-25T10:37:03Z,B01LYOSLGO,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,6000,1
2024-05-25T10:04:08Z,2024-05-25T10:06:00Z,B01LYOSLGO,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,112100,8
2024-05-24T14:19:04Z,2024-05-24T14:19:07Z,1F661CCCFB5A414FAEEC409BB8FF3325,,India,,de95d070027c4d039dbc90b3507de523,1285786600,Personal Document,3100,1
2024-05-25T18:14:56Z,2024-05-25T18:15:17Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,21000,12
2024-05-25T10:34:08Z,2024-05-25T10:34:21Z,BB6T5UEZ62,,India,,de95d070027c4d039dbc90b3507de523,1285786600,E-Book,13100,6
2024-06-02T05:28:39Z,2024-06-02T05:29:39Z,48fc2dbe-0b82-4250-b328-ab1b72aea8b8,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,60100,3
2024-06-02T15:37:40Z,2024-06-02T15:43:18Z,EC7J7VG03MYJ2UIIK68DP76HMIS6VZTT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,338100,28
2024-05-29T00:22:04Z,2024-05-29T00:23:57Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,112900,8
2024-06-01T06:57:36Z,2024-06-01T06:57:56Z,8UJX81OJENWPO3XWWTPF5L22H3XUUZV9,,India,Kindle E-reader,G0010212031209K8,4212840015,Personal Document,20000,9
2024-06-02T04:45:47Z,2024-06-02T04:45:54Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,7100,1
2024-05-25T17:50:22Z,2024-05-25T17:50:46Z,WPHFRCSC8L1KCPQXYPLR9ZK73IJJO07O,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,23700,12
2024-05-31T01:56:27Z,2024-05-31T02:06:34Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,606900,1
2024-05-28T23:36:13Z,2024-05-28T23:53:41Z,B07HJYTRMD,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,1047800,18
2024-05-25T14:25:49Z,2024-05-25T14:25:53Z,d5456efd-1b29-4108-9e38-40642a00b24d,,India,,de95d070027c4d039dbc90b3507de523,1285786600,E-Book,4300,6
2024-05-25T15:42:00Z,2024-05-25T15:43:29Z,B0C1YY5SQR,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,89200,2
2024-05-26T14:34:12Z,2024-05-26T14:56:02Z,BBD53V2DZT,,India,Kindle E-reader,G0010212031209K8,4212840015,E-Book,1309400,32
