author_sort,authors,isbn,id,identifiers,pubdate,publisher,tags,title,uuid
"Holly, Jackson","Jackson Holly","9781405298605","321","goodreads:56905097,isbn:9781405298605,amazon:140529860X","2021-07-20T00:00:00+05:30","HARPER COLLINS","Mystery, Young Adult, Thriller, Crime, Contemporary","As Good as Dead","3cd47c15-c7bd-4456-9d01-a3044528dd34"
"McFadden, Freida","Freida McFadden","9781728296210","322","amazon:1728296218,isbn:9781728296210,goodreads:195967140","2024-02-06T00:00:00+05:30","Poisoned Pen Press","Thriller, Mystery, Adult, Crime, Suspense, American Suspense, Psychological Suspense, Domestic Thriller","The Teacher","248289bc-fa53-4f55-9130-f26e6761e072"
"Hazelwood, Ali","Ali Hazelwood","","323","mobi-asin:B08T6XN4FP,goodreads:59336483,amazon:B08T6XN4FP","2021-09-14T12:30:00+05:30","Berkley","Contemporary, Adult, Young Adult","The Love Hypothesis","b40a9435-da88-45b9-aca6-b6db90d1e065"
"Rooney, Sally","Sally Rooney","9780571334667","324","goodreads:37539458,amazon:0571334660,isbn:9780571334667","2018-08-28T12:30:00+05:30","Faber & Faber","Romance, Contemporary, Adult","Normal People","54ac0859-f687-4eae-9e5f-b6073aadc047"
"Hoover, Colleen","Colleen Hoover","9781501170621","325","google:hlU3DwAAQBAJ,goodreads:33361210,amazon:1501170627,isbn:9781501170621","2017-10-03T12:30:00+05:30","Atria Books","New Adult, Fiction, Women, Young Adult, Family Life, General, Psychological, Romance, Contemporary","Without Merit","1ee1901e-d076-41bf-9669-be512eb20479"
"Coben, Harlan","Harlan Coben","9781538756317","326","goodreads:198494009,isbn:9781538756317,amazon:1538756315","2024-05-14T12:30:00+05:30","Grand Central Publishing","Mystery, Thriller, Suspense, Crime, Adult","Think Twice","bfb33275-27c0-45b9-9c91-21808535209f"
"Score, Lucy","Lucy Score","9798886439298","327","amazon:B0BVNZD4FY,isbn:9798886439298,goodreads:116536542","2023-09-05T12:30:00+05:30","That's What She Said Publishing","Romance, Contemporary, Adult, Suspense","Things We Left Behind","2a3fc442-ffb7-4f1b-ae40-23faa76f4687"
"Grant, Adam","Adam Grant","9781984878106","328","amazon:1984878107,goodreads:55539565,isbn:9781984878106","2021-02-02T00:00:00+05:30","Viking Books","Psychology, Self Help, Business, Science, Philosophy","Think Again: The Power of Knowing What You Don't Know","4783731a-f3d7-4818-8862-7e05ab7cde5b"
"Hosseini, Khaled","Khaled Hosseini","9781594631931","329","isbn:9781594631931,amazon:159463193X,uri:urn:uuid:fbd-bcb2b7-3e3b-b940-c9b8-ef00-b9e0-7512fe","2013-03-05T05:30:00+05:30","Riverhead Books","prose_contemporary","The Kite Runner","ad9c74d6-5caf-420f-9a8f-077a171bd1ba"
"Score, Lucy","Lucy Score","9781945631849","330","mobi-asin:B09PNM8FFN,goodreads:60060431,isbn:9781945631849,amazon:B09PNM8FFN","2022-01-12T13:30:00+05:30","That's What She Said Publishing","Contemporary, Adult","Things We Never Got Over","3cd4fd62-1507-4c99-94d2-162651ec2118"
"Tyce, Harriet","Harriet Tyce","","331","goodreads:50368041,amazon:B0791HFBVX","2019-01-10T00:00:00+05:30","Wildfire","Thriller, Mystery, Crime, Suspense, Contemporary","Blood Orange","dec32fc3-7dc5-4eca-bf37-2b7b7b91c450"
"Phifer, Helen","Helen Phifer","9781837903467","332","isbn:9781837903467,goodreads:156425230,google:4k3uzwEACAAJ,mobi-asin:B0BW4CYF17,amazon:1837903468","2023-05-30T05:30:00+05:30","Bookouture","Mystery, Thriller, Crime, Suspense","Hold Your Breath","2b31fc21-b521-4161-9d12-5855b7b25430"
"Kross, Ethan","Ethan Kross","9780525575238","333","goodreads:53330118,isbn:9780525575238,amazon:0525575235","2021-01-26T05:30:00+05:30","Crown","Psychology, Self Help, Science, Health, Business","Chatter: The Voice in Our Head, Why It Matters, and How to Harness It","9d13f39c-a576-46ec-bae2-ea027435e419"
"Lapena, Shari","Shari Lapena","9780593077382","334","isbn:9780593077382,mobi-asin:B019GDH58Q,amazon:0593077385,goodreads:28261170","2016-01-02T05:30:00+05:30","Batam Press","Thriller, Mystery, Suspense, Crime, Adult","The Couple Next Door","b17f9f48-37bd-47d8-9d82-8fd4ab93ef0c"
"Yarros, Rebecca","Rebecca Yarros","9781649374042","335","isbn:9781649374042,goodreads:61431922,amazon:1649374046","2023-05-02T05:30:00+05:30","Entangled: Red Tower Books","Fantasy, Dragons;Fantasy Academy;fantasy romance;dragon riders;Fourth Wing;Fourth Wing by Rebecca Yarros;Rebecca Yarros;USA Today bestselling author;fantasy;mythical creatures;action and adventure;epic;epic fantasy;enemies to lovers;war;fantasy college;new fantasy releases;adult fantasy;adult fiction;bestselling author;realms;sisters;siblings;new adult fiction, Young Adult, Romance, Adult","Fourth Wing","3e591929-ec29-4295-9d07-e5fd68095d16"
"Hoover, Colleen","Colleen Hoover","9781471149313","336","isbn:9781471149313,mobi-asin:B00PZARDN2,goodreads:23606563,amazon:B00PZARDN2","2014-11-24T13:30:00+05:30","Simon & Schuster UK","Romance, Contemporary, Young Adult, Adult","Maybe Not","9c398f51-47c5-47ad-bd58-3a5dd2fe007c"
